ref	tcz	en_web	en_kjv	tcz_gospelgo
EXO 15:17	“Nangman namite nahin puilut ding nangma molsang chungvum a chu na tundoh ding ahiye; ajeh chu nangman hiche laimun chu na chenna dinga na tundoh sa ahi tai, O Pakai nangman mun theng laijeng jong chu na khut te nia na tundoh ahi tai, ati.”	You will bring them in, and plant them in the mountain of your inheritance, the place, LORD, which you have made for yourself to dwell in: the sanctuary, Lord, which your hands have established.	Thou shalt bring them in, and plant them in the mountain of thine inheritance, In the place, O Lord, which thou hast made for thee to dwell in, In the Sanctuary, O Lord, which thy hands have established.	Nahin puilut’in nagamsung Mol le lhang natomjolsah-in; Nang-Pakaiyin nalhendohsa mun, na-in Houin-nasahsa dung nalhutsohtai.
EXO 15:18	“Pakai hi tonsot tonsot'a chung nung chang ahi tai!”	The LORD will reign forever and ever.”	The Lord shall reign for ever and ever.	Vo Pakai nangma, Tonsot tonsot’a leng chang ding nahi,” atiuve.
EXO 15:19	Ajeh chu Pharaoh sakol kangtalai jouse twikhanglen lailung'a atol lut in, Pakai thahat chun achungvum uvah twikhangklen chu alechup sah gam ahitai. Ahinlah Israel chate abonchauvin twi-khanglen lailung tolgo lah achun akijot galkai sah tauvin ahi.	For the horses of Pharaoh went in with his chariots and with his horsemen into the sea, and the LORD brought back the waters of the sea on them; but the children of Israel walked on dry land in the middle of the sea.	For the horse of Pharaoh went in with his chariots and with his horsemen into the sea, and the Lord brought again the waters of the sea upon them; but the children of Israel went on dry land in the midst of the sea.	Israelten Twikhanglen lailung tolgon ajotdoh tauve. Egypt mite kangtalai ho le sakolte chule kangtalai tol ho puma Twikhanglen lailung agei phat’un Pakaiyin twipi akichisah kit’in achupsah soh tai.
EXO 15:20	Chuin Aaron a sopinu, themgao Miriam akhut'a khutbeh khat chu akilah in, numeija kaijousen amanu nung chu ajui tauvin, khutbeh jaonan apotdoh uvin alam uve.	Miriam the prophetess, the sister of Aaron, took a tambourine in her hand; and all the women went out after her with tambourines and with dances.	And Miriam the prophetess, the sister of Aaron, took a timbrel in her hand; and all the women went out after her with timbrels and with dances.	Aaron sopinu Miriamin khutbeh akipat’in, numei dang sen jong ajop’un khutbeh bengin alamtauve.
EXO 15:21	Chule Miriam chun hiche jaila hi a-oijin ahi: “Pakai vahchoila sa'u hite, Aman loupitah'in gal asat'in ajou tai; sakol chung'a toupa jeng jong twikhang len lailung'a aleh khup jeng tai.”	Miriam answered them, “Sing to the LORD, for he has triumphed gloriously. He has thrown the horse and his rider into the sea.”	And Miriam answered them, Sing ye to the Lord, for he hath triumphed gloriously; The horse and his rider hath he thrown into the sea.	Numeiho lamkaiyin Miriamin la asan: “Pakai vahchoiyun, Minthangtah-in gal ajoutai. Sakolte le achunga tou mihem josue Twikhanglen a aleh luttai,” atiuve.
EXO 15:22	Mose'n jong twikhanglen San akon'in Israelte chu ahin pui nalaijun, chuin Shur kiti neldi gam'a akitol lut tauvin ahi. twidon ding thei louvin nithum sung'in akitol tauve.	Moses led Israel onward from the Red Sea, and they went out into the wilderness of Shur; and they went three days in the wilderness, and found no water.	So Moses brought Israel from the Red sea, and they went out into the wilderness of Shur; and they went three days in the wilderness, and found no water.	Israelte chu Mose’n Twikhanglensan apat Shur gamthip lama apuitai. Nithum sung nelgam jeng ajot’u le, twi him him amu tapouve.
EXO 15:23	Marah mun ahung geitauvin ahile hiche mun'na twi chu akha'n don thei ahi tapoi. Hijeh chun hichelai munchu Marah asah tauvin ahi (hichu akha tina ahi).	When they came to Marah, they couldn’t drink from the waters of Marah, for they were bitter. Therefore its name was called Marah.	And when they came to Marah, they could not drink of the waters of Marah, for they were bitter: therefore the name of it was called Marah.	Marah kiti lai ahinphauvin, chukoma twi chula akhan adon theipouve. Twikhat jeh a Marah asah lo’u ahi.
EXO 15:24	Chuin mipi Mose chung'a aphunchel gamtaovin hiti hin aseyuve, “Ipi kadon diuva hitam?”	The people murmured against Moses, saying, “What shall we drink?”	And the people murmured against Moses, saying, What shall we drink?	Mipi Mose koma akiphin’un, “Ipiba kadon diu ham?” tin anotauve.
EXO 15:25	Mose jong Pakai lamsang in kap pum in atao tai. Pakaiyin thing lhon neokhat avetsah in hichu asat doh'in twi lah chu akho lut'a ahile twi chu donthei ahung sohdoh tan ahi. Chuin Pakaiyin hiche Marah munna chun Israelte ding in chonna dan khat a sempeh'in Ama'a akitah jing na diuvin jong hilchetna aneiyin ahi.	Then he cried to the LORD. The LORD showed him a tree, and he threw it into the waters, and the waters were made sweet. There he made a statute and an ordinance for them, and there he tested them.	And he cried unto the Lord; and the Lord shewed him a tree, which when he had cast into the waters, the waters were made sweet: there he made for them a statute and an ordinance, and there he proved them,	Mose jong lunggil tah-in Pakaiya ataovin, Pakaiyin thing hal khat avet sah-in, hichu twikha lah a lelut le donthei asohtai. Hikoma hin Pakaiyin achonna diu Danthu apen, pajong apate’e.
EXO 15:26	“Aman hiti hin aseije, “Nangman ching thei tah'in na Pakai na Pathen thusei ngaijin, Ama mitmu'a thudih jeng'a na chon ding, a thupeh jouse na nit ding, hi tia chu Egypt mite chung'a gamna hoise ka lan sah chu nangho chung'a ka lansah louhel ding ahiye, ajeh chu keima nadamsah na Pakai chu kahi,” ati.	He said, “If you will diligently listen to the LORD your God’s voice, and will do that which is right in his eyes, and will pay attention to his commandments, and keep all his statutes, I will put none of the diseases on you which I have put on the Egyptians; for I am the LORD who heals you.”	and said, If thou wilt diligently hearken to the voice of the Lord thy God, and wilt do that which is right in his sight, and wilt give ear to his commandments, and keep all his statutes, I will put none of these diseases upon thee, which I have brought upon the Egyptians: for I am the Lord that healeth thee.	Pakaiyin, “Thildih a kagel chu thakhen louva nabol’uva, kathupeh chengse nanit jingule, Egypt mite kathagamna nat ho khatcha nachunguva chuhsah ponge. Kei hi nadamsah-uva Pakai chu kahi,” ati.
EXO 15:27	Marah mun adalhah phat'uvin Israel mite jong Elim kiti twiko somleni putdoh namun tom-thing somsagi kenna munna twipang achun ngahmun akisem tauvin ahi.	They came to Elim, where there were twelve springs of water and seventy palm trees. They encamped there by the waters.	And they came to Elim, where were twelve wells of water, and threescore and ten palm trees: and they encamped there by the waters.	Abanin Elim ahung lhungun, hikoma hin twinah phung som le ni aumin, chahthing hung som sagi akeh-e; twipanga chun aki-ngauvin ahi.
EXO 16:1	Elim akon'in Israel mipi akitol uvin Sin* kiti gammang lam hichu Elim le Sinai molsang kahlah ahiye. Hiche mun chu Egypt gamsung'a konna ahungpotdoh kal'u lhani alhing tan, hiche lhasung nisom le ninga lhinin ahunglhung taovin ahi.	They took their journey from Elim, and all the congregation of the children of Israel came to the wilderness of Sin, which is between Elim and Sinai, on the fifteenth day of the second month after their departing out of the land of Egypt.	And they took their journey from Elim, and all the congregation of the children of Israel came unto the wilderness of Sin, which is between Elim and Sinai, on the fifteenth day of the second month after their departing out of the land of Egypt.	
EXO 16:2	Hiche mun jeng ajong chun Isreal mite Mose le Aaron heng'a aphunchil taovin ahi.	The whole congregation of the children of Israel murmured against Moses and against Aaron in the wilderness;	And the whole congregation of the children of Israel murmured against Moses and Aaron in the wilderness:	
EXO 16:3	Ama hon aseiyun, “Kada tangei uve! Egypt gamsunga kana um laiyun saneh ding hihen changlhah hijong le adimlha jeng jin, tun nangman hiche gamthip noiya hi kelthohsah'a thi gam sah ding nei got u hitam,” atiuve.	and the children of Israel said to them, “We wish that we had died by the LORD’s hand in the land of Egypt, when we sat by the meat pots, when we ate our fill of bread, for you have brought us out into this wilderness to kill this whole assembly with hunger.”	and the children of Israel said unto them, Would to God we had died by the hand of the Lord in the land of Egypt, when we sat by the flesh pots, and when we did eat bread to the full; for ye have brought us forth into this wilderness, to kill this whole assembly with hunger.	
EXO 16:4	Chuin Pakaiyin Mose heng'a aseijin, “Vetan! Vanna konna keiman nangma ann kahinpeh ding nahiye. Nisih niseh'a aneh diu adeichannu agakilo ding'u ahi. Keiman amaho kapatep ding ahiuve, ajeh chu kathu angai nah uvem.”	Then the LORD said to Moses, “Behold, I will rain bread from the sky for you, and the people shall go out and gather a day’s portion every day, that I may test them, whether they will walk in my law or not.	Then said the Lord unto Moses, Behold, I will rain bread from heaven for you; and the people shall go out and gather a certain rate every day, that I may prove them, whether they will walk in my law, or no.	
EXO 16:5	“Nigup lhinni teng keiman aneh khopset diuva an'neh kahin pehding ahiuve, hichu anehkhopset diu ajatnia tam hiding ahi.”	It shall come to pass on the sixth day, that they shall prepare that which they bring in, and it shall be twice as much as they gather daily.”	And it shall come to pass, that on the sixth day they shall prepare that which they bring in; and it shall be twice as much as they gather daily.	
EXO 16:6	Chuin Mose le Aaron'injong Israel mite heng'a aseipeh lhon tan, “Nilhah lam teng na hetdoh ding'u ahiye, ajeh chu koiham Egypt gamsung'a konna nahin puidoh paochu,” atipeh lhon tai.	Moses and Aaron said to all the children of Israel, “At evening, you shall know that the LORD has brought you out from the land of Egypt.	And Moses and Aaron said unto all the children of Israel, At even, then ye shall know that the Lord hath brought you out from the land of Egypt:	
EXO 16:7	“Chule jingkah lamteng Pakai loupina namudiu ahi, ajeh chu nangho nakiphin nau awgin Aman ajasoh tai, hichu Amadia doumah um ahin, hichu keini chung'a doumah naneijin phun hihhel un, ati lhon'e.”	In the morning, you shall see the LORD’s glory; because he hears your murmurings against the LORD. Who are we, that you murmur against us?”	and in the morning, then ye shall see the glory of the Lord; for that he heareth your murmurings against the Lord: and what are we, that ye murmur against us?	
EXO 16:8	Mose'n asei aseikit in, “Pakaiyin nilhah lamma naneh diu sa nahin peh diu, jingkah lama naneh diu changlhah nahin peh diu ahi, ajeh chu Pakaiyin nangho na phunchel uva ama douna thu na seinau aja soh tai. Keini a kon ipijeh'a na kiphin'nu ham? Henge, na phunchel nau chu keini douna hilouvin, Pathen douna ahijoi,” ati lhonne.	Moses said, “Now the LORD will give you meat to eat in the evening, and in the morning bread to satisfy you, because the LORD hears your murmurings which you murmur against him. And who are we? Your murmurings are not against us, but against the LORD.”	And Moses said, This shall be, when the Lord shall give you in the evening flesh to eat, and in the morning bread to the full; for that the Lord heareth your murmurings which ye murmur against him: and what are we? your murmurings are not against us, but against the Lord.	
EXO 16:9	Chuin Mose'n jong Aaron heng'a aseijin, “Israel mite jouse heng'a seipeh tem in: Nangma cheh Pakai angsung'a kipe lut uvin, ajeh chu Aman nang ho phunchel na ajahsoh ahi tai, tin seiyin,” ati.	Moses said to Aaron, “Tell all the congregation of the children of Israel, ‘Come close to the LORD, for he has heard your murmurings.’”	And Moses spake unto Aaron, Say unto all the congregation of the children of Israel, Come near before the Lord: for he hath heard your murmurings.	
EXO 16:10	Aaron'injong Isreal mite jouse heng'a aseiyin ahile, amahon gammang lah chu avel le jeng tauvin ahi. Amahon Pathen loupina thil chu vanlam'a amu tauvin ahi.	As Aaron spoke to the whole congregation of the children of Israel, they looked toward the wilderness, and behold, the LORD’s glory appeared in the cloud.	And it came to pass, as Aaron spake unto the whole congregation of the children of Israel, that they looked toward the wilderness, and behold, the glory of the Lord appeared in the cloud.	
EXO 16:11	Chu in Pakaiyin Mose heng'a asei jin,	The LORD spoke to Moses, saying,	And the Lord spake unto Moses, saying,	
EXO 16:12	“Keiman Israel mite phunchelna ka jahsoh tan ahi. Tun nangman aheng uvah seijin, nilhah lamteng naneh diuva sa ka hin peh ding na hiuvin chule jingkah lamteng naneh diuva changlhah kahin peh ding na hiuve. Chuteng nanghon keima hi na-Pakai u-leh Na-Pathen'u kahi na hetdoh ding'u ahi,” ati.	“I have heard the murmurings of the children of Israel. Speak to them, saying, ‘At evening you shall eat meat, and in the morning you shall be filled with bread. Then you will know that I am the LORD your God.’”	I have heard the murmurings of the children of Israel: speak unto them, saying, At even ye shall eat flesh, and in the morning ye shall be filled with bread; and ye shall know that I am the Lord your God.	
EXO 16:13	Hiche nilhah lam chun vamimte ahung kitol tauvin ahile ngahmun chu alo dimlha jeng tauve. Jingkah khovah machun ngahmun kim vel lah jouse chu daitwi jin ana chup in ahi.	In the evening, quail came up and covered the camp; and in the morning the dew lay around the camp.	And it came to pass, that at even the quails came up, and covered the camp: and in the morning the dew lay round about the host.	
EXO 16:14	Chuin daitwi hochu ahung kihoh dohtan ahile, gammang lah akon chun thilpha tah khat alomlom chan ahung umtan, hichu abeh beh'a kigol'in anaum in ahi.	When the dew that lay had gone, behold, on the surface of the wilderness was a small round thing, small as the frost on the ground.	And when the dew that lay was gone up, behold, upon the face of the wilderness there lay a small round thing, as small as the hoar frost on the ground.	
EXO 16:15	Israel miten jong hichu ahinmudoh taovin ahile, amaho akidong tochheh un, “hiche khu ipi ahidem?” amahon ipi ahichu ahedoh jou pouvin ahile. Chu in Mose'n ahil chen un, “Hiche hi nehding'a Pakaiyin napeh uvah ahi,” ati.	When the children of Israel saw it, they said to one another, “What is it?” For they didn’t know what it was. Moses said to them, “It is the bread which the LORD has given you to eat.	And when the children of Israel saw it, they said one to another, It is manna: for they wist not what it was. And Moses said unto them, This is the bread which the Lord hath given you to eat.	
EXO 16:16	“Hicheng hi Pakaiyin aseije: Nangma insung cheh'in naneh khopset diu kilah unlang, chule mikhat'in vamim jatnia tamjo napon buh sung uvah kichoi lut un,” ati.	This is the thing which the LORD has commanded: ‘Gather of it everyone according to his eating; an omer a head, according to the number of your persons, you shall take it, every man for those who are in his tent.’”	This is the thing which the Lord hath commanded, Gather of it every man according to his eating, an omer for every man, according to the number of your persons; take ye every man for them which are in his tents.	
EXO 16:17	Pakaiyin athupeh bang'in Israel mite'n jong abol tauvin ahi, kimkhat in tampi a kichoi jun, akim khatma chun achoi khambep cheh aki choi uve.	The children of Israel did so, and some gathered more, some less.	And the children of Israel did so, and gathered, some more, some less.	
EXO 16:18	Ahinlah Omer dimkhat cheh atetoh uvin ahileh, tamtah hinkilah ho ahin chule ama ding khambep hin kilah ho jong hiti chun, kitam lah chom leh kilhom lah chom um louvin; abonchauvin kitoh chat chat'in akihom uvin aki choiyuve.	When they measured it with an omer, he who gathered much had nothing over, and he who gathered little had no lack. They each gathered according to his eating.	And when they did mete it with an omer, he that gathered much had nothing over, and he that gathered little had no lack; they gathered every man according to his eating.	
EXO 16:19	Chuin Mose'n aheng uvah aseiyin, “Jingkah khovah lhah channa ahelsi cha jeng jong na koi loudiu ahi,” ati.	Moses said to them, “Let no one leave of it until the morning.”	And Moses said, Let no man leave of it till the morning.	
EXO 16:20	Kimkhat chun a ngaisah pouvin changlhah aneh moh uchu jingkah lam chan in akoi jun ahile, chang lhah akoi den hou chu thaan achu tan a uilha gam tai, Mose jong ama ho chung'a chun a lungpha mo tan ahi.	Notwithstanding they didn’t listen to Moses, but some of them left of it until the morning, so it bred worms and became foul; and Moses was angry with them.	Notwithstanding they hearkened not unto Moses; but some of them left of it until the morning, and it bred worms, and stank: and Moses was wroth with them.	
EXO 16:21	Jingkah sih'in Mipiho chun aneh khop cheh diu changlhah chu aga kilo jiuvin, nisa ahungsat doh teng levang changlhah hochu ajunmang jitan ahi.	They gathered it morning by morning, everyone according to his eating. When the sun grew hot, it melted.	And they gathered it every morning, every man according to his eating: and when the sun waxed hot, it melted.	
EXO 16:22	Nigup lhinni teng le changlhah chu achan jatbep cheh diuvin akilo jiuvin, hitia abol'u toh kilhon chun khompi lamkai ho ahung uvin Mose heng'a asei jiuvin ahi.	On the sixth day, they gathered twice as much bread, two omers for each one; and all the rulers of the congregation came and told Moses.	And it came to pass, that on the sixth day they gathered twice as much bread, two omers for one man: and all the rulers of the congregation came and told Moses.	
EXO 16:23	Aman aheng uvah aseiyin, “Pakaiyin hiti hin aseije: Jing nikho teng nangho nakicholdo diu ahi, ajeh chu Pakaiya dia Sabbath nikho theng ahi. Changlhah na kisem theijat channu tunin kisem unlang, hiche hochu jinglam'a ding jong kikoi doh taovin,” ati.	He said to them, “This is that which the LORD has spoken, ‘Tomorrow is a solemn rest, a holy Sabbath to the LORD. Bake that which you want to bake, and boil that which you want to boil; and all that remains over lay up for yourselves to be kept until the morning.’”	And he said unto them, This is that which the Lord hath said, To morrow is the rest of the holy sabbath unto the Lord: bake that which you will bake to day, and seethe that ye will seethe; and that which remaineth over lay up for you to be kept until the morning.	
EXO 16:24	Mose'n athupeh bang'un, changlhah phabep chu achom in jingkah khovah chan in akoi jun ahi. Jingkah'in changlhah hochu ima ati tapon than jong chu louvin hoitah'in ana um'e.	They laid it up until the morning, as Moses ordered, and it didn’t become foul, and there were no worms in it.	And they laid it up till the morning, as Moses bade: and it did not stink, neither was there any worm therein.	
EXO 16:25	Mose'n aseijin, “Hiche changlhah hi tunin neuvin, ajeh chu tunikho hi Pakaiya dia Sabbath ahi. Ajeh chu tol lhamma chang lhah umlou ding ahiye,” ati.	Moses said, “Eat that today, for today is a Sabbath to the LORD. Today you shall not find it in the field.	And Moses said, Eat that to day; for to day is a sabbath unto the Lord: to day ye shall not find it in the field.	
EXO 16:26	Nigup sung'a changlhah na kilo cheh diu, ni sagi niteng nalo thei lou ding'u ahiye,” ati.	Six days you shall gather it, but on the seventh day is the Sabbath. In it there shall be none.”	Six days ye shall gather it; but on the seventh day, which is the sabbath, in it there shall be none.	
EXO 16:27	Kim khat chu Sabbath nikhon changlhah kilo din acheuvin, hinlah changlhah khat jeng cha jong amu tapouve.	On the seventh day, some of the people went out to gather, and they found none.	And it came to pass, that there went out some of the people on the seventh day for to gather, and they found none.	
EXO 16:28	Pakaiyin Mose heng'a aseijin, “hiche mite hin itih chan kathu peh apalkeh diu hitam?	The LORD said to Moses, “How long do you refuse to keep my commandments and my laws?	And the Lord said unto Moses, How long refuse ye to keep my commandments and my laws?	
EXO 16:29	“Amahon ageldoh diu chu Sabbath nikho hi Pakaiya akon ahin Aman eipeh'u ahiye. Hijeh achu Pakajin nigup sung'in changlhah neh ding na peuvin, nigup lhinni man nini sung'a neh ding changlhah na peuve. Nalah uva koi hijong leu chun naum na cheh uva umthim beh jeng uvin lang,’ nisagi lhinni teng koima cha achenna munna konin pamlama potda jeng tahen,” ati.	Behold, because the LORD has given you the Sabbath, therefore he gives you on the sixth day the bread of two days. Everyone stay in his place. Let no one go out of his place on the seventh day.”	See, for that the Lord hath given you the sabbath, therefore he giveth you on the sixth day the bread of two days; abide ye every man in his place, let no man go out of his place on the seventh day.	
EXO 16:30	Nisagi lhin ni leh na boncha uvin ima ne louvin a kicholdo tauvin ahi.	So the people rested on the seventh day.	So the people rested on the seventh day.	
EXO 16:31	Israel miten chang lhah chu Manna asah tauvin ahi. Hichu muchi mu tabang bang ahin, atwi dan jong khoiju ta bang ahiye.	The house of Israel called its name “Manna”, and it was like coriander seed, white; and its taste was like wafers with honey.	And the house of Israel called the name thereof Manna: and it was like coriander seed, white; and the taste of it was like wafers made with honey.	
EXO 16:32	Mose'n asei in, “Pakai thupeh chu hiche hi ahiye: “Nakhang lhumkei uva umjing ding in Manna ki hamdoh cheh uvin, hichu nakhang lhumkei uva mite hon Egypt gamsung'a konna ka hinpui uva gammang thip lah'a Manna'a kahin vah nao ahidan ahetdoh thei ding'u ahi,” ati.	Moses said, “This is the thing which the LORD has commanded, ‘Let an omer-full of it be kept throughout your generations, that they may see the bread with which I fed you in the wilderness, when I brought you out of the land of Egypt.’”	And Moses said, This is the thing which the Lord commandeth, Fill an omer of it to be kept for your generations; that they may see the bread wherewith I have fed you in the wilderness, when I brought you forth from the land of Egypt.	
EXO 16:33	Mose'n jong Aaron heng'a aseijin, “Belneo khat latem'in asung'a chun Manna phabep khat khum'in. Hichu akhang akhang'a umjing dia Pakai ansung'a nagakoi ding ahi,” ati.	Moses said to Aaron, “Take a pot, and put an omer-full of manna in it, and lay it up before the LORD, to be kept throughout your generations.”	And Moses said unto Aaron, Take a pot, and put an omer full of manna therein, and lay it up before the Lord, to be kept for your generations.	
EXO 16:34	Pakaiyin Mose athupeh bang'in Aaron in jong aboltan ahi. Pakai angsunga akhang akhang'a het tohsah'a pang ding'in kitepna thingkong maiya chun akoi tan ahi.	As the LORD commanded Moses, so Aaron laid it up before the Testimony, to be kept.	As the Lord commanded Moses, so Aaron laid it up before the Testimony, to be kept.	
EXO 16:35	Israel mite'n jong achenna diu mun ahin phah kahseo vin, kum somli sung sen Manna jeng ahin neuvin, Canaan gam ahung lhun kahse uva ding'in Manna jeng chu ahin ne tauvin ahi.	The children of Israel ate the manna forty years, until they came to an inhabited land. They ate the manna until they came to the borders of the land of Canaan.	And the children of Israel did eat manna forty years, until they came to a land inhabited; they did eat manna, until they came unto the borders of the land of Canaan.	
EXO 16:36	Manna Omer dimkhat chu Ephah khatseh hopsomma hop khat toh aki bang in ahi.	Now an omer is one tenth of an ephah.	Now an omer is the tenth part of an ephah.	
EXO 17:1	Pakai thupeh bang in Israel chate abonchauvin Sin* gammang akon in akitol uvin mun khat akon munchom khat'a akitol leuvin ahi. Rephidem kiti mun'na ngahmun akisem'uvin hinlah hiche lai mun'na chun twidon ding aumta pon ahi.	All the congregation of the children of Israel traveled from the wilderness of Sin, starting according to the LORD’s commandment, and encamped in Rephidim; but there was no water for the people to drink.	And all the congregation of the children of Israel journeyed from the wilderness of Sin, after their journeys, according to the commandment of the Lord, and pitched in Rephidim: and there was no water for the people to drink.	
EXO 17:2	Mipi jong Mose heng'a avel lin a phunchel kit tauvin, “Don ding twi neipe uvin,” ati tauve. Mose'n a donbut in ajah uva, “Ipi ding'a kei koma ki phin'a na hiuvem? Chule ipi ding'a nang hon Pakai na patep u ham?”	Therefore the people quarreled with Moses, and said, “Give us water to drink.” Moses said to them, “Why do you quarrel with me? Why do you test the LORD?”	Wherefore the people did chide with Moses, and said, Give us water that we may drink. And Moses said unto them, Why chide you with me? wherefore do ye tempt the Lord?	
EXO 17:3	Mipihon twi angaicha jing uvin Mose dounan thu aseijun akiphin gam tauvin, “Ipi ding'a Egypt gamsung'a kon'na nei hin puidoh mong mong'u hitam? Nangman keiho le, ka chate'u chule ka gan chate'u ka boncha uva dangchah'a thigam sah ding nei got uva hitam?” tin asei uve.	The people were thirsty for water there; so the people murmured against Moses, and said, “Why have you brought us up out of Egypt, to kill us, our children, and our livestock with thirst?”	And the people thirsted there for water; and the people murmured against Moses, and said, Wherefore is this that thou hast brought us up out of Egypt, to kill us and our children and our cattle with thirst?	
EXO 17:4	Chuin Mose jong Pathen heng'a kap pum'in ataovin, “Hiche miteho ding'a ipi kabol ding hitam? Song'a selih ding eigo tauve,” ati.	Moses cried to the LORD, saying, “What shall I do with these people? They are almost ready to stone me.”	And Moses cried unto the Lord, saying, What shall I do unto this people? they be almost ready to stone me.	
EXO 17:5	“Chuin Pakaiyin Mose heng'a aseijin, “Mipiho ma'sang a konchun ki khen doh tem'in chule Nile vadung San najepna tenggol chu kichoiyin lang Israel upa ho phabep kipuijin.”	The LORD said to Moses, “Walk on before the people, and take the elders of Israel with you, and take the rod in your hand with which you struck the Nile, and go.	And the Lord said unto Moses, Go on before the people, and take with thee of the elders of Israel; and thy rod, wherewith thou smotest the river, take in thine hand, and go.	
EXO 17:6	“Keiman Sinai molsang* songpi chungvum'ma ka dinpi ding nahiye, chuteng songpi chu jep lechun twi hung kikho doh jeng ding, Israel miten adon thei diu ahitai,” ati.	Behold, I will stand before you there on the rock in Horeb. You shall strike the rock, and water will come out of it, that the people may drink.” Moses did so in the sight of the elders of Israel.	Behold, I will stand before thee there upon the rock in Horeb; and thou shalt smite the rock, and there shall come water out of it, that the people may drink. And Moses did so in the sight of the elders of Israel.	
EXO 17:7	Mose'n jong hiche mun chu Massah asah tan ahi (hichu ‘patepna’ tia kihe ahi) Chule Maribah (hichu ‘ki khoh doh’ tina ahi) ajeh chu Isreal mite Mose heng'a aphunchil uva, Pakai doumah jing asei doh uvin, “Na Pakaiyin keiho hikoma hi ei umpi mong uva hinam?” atiuvin ahi.	He called the name of the place Massah, and Meribah, because the children of Israel quarreled, and because they tested the LORD, saying, “Is the LORD among us, or not?”	And he called the name of the place Massah, and Meribah, because of the chiding of the children of Israel, and because they tempted the Lord, saying, Is the Lord amongst us, or not?	
EXO 17:8	Israel mite Rephidim mun aum jinglai yun, Amalek mite ahung kon uvin akisat petauve.	Then Amalek came and fought with Israel in Rephidim.	Then came Amalek, and fought with Israel in Rephidim.	
EXO 17:9	Chuin Mose'n jong Joshua heng'a thupeh aneiyin, “Amalek mite toh kisat ding pasal galsat ding phabep khat lheng doh tem'in. Jing nikho le keima gamlah molsang'a ka din ding hichea chu Pathen bantha hat ka dopsang'a ka pan ding ahi,” ati.	Moses said to Joshua, “Choose men for us, and go out to fight with Amalek. Tomorrow I will stand on the top of the hill with God’s rod in my hand.”	And Moses said unto Joshua, Choose us out men, and go out, fight with Amalek: to morrow I will stand on the top of the hill with the rod of God in mine hand.	
EXO 17:10	Mose thupeh bang'in, Joshua'n jong Galsat ding pasal phabep alheng doh tan Amalek mite chu gal akisat pi tauvin ahi. Chuin Mose, Aaron leh Hur amaho cheng chu gam lah molsang lam'a akal tou tauvin ahi.	So Joshua did as Moses had told him, and fought with Amalek; and Moses, Aaron, and Hur went up to the top of the hill.	So Joshua did as Moses had said to him, and fought with Amalek: and Moses, Aaron, and Hur went up to the top of the hill.	
EXO 17:11	Mose'n akhut teni a dopsang chan in Israel mite ahat be cheh jiuvin, chule akhutteni akham teng le vang Amelek mite ahat jita uvin ahi.	When Moses held up his hand, Israel prevailed. When he let down his hand, Amalek prevailed.	And it came to pass, when Moses held up his hand, that Israel prevailed: and when he let down his hand, Amalek prevailed.	
EXO 17:12	Mose khut teni chu ahung khaam tan ahile aman jong adomsang joutapon chuin Aaron le Hur'in jong akhut ngap nading'in song ahol le hontan, a khut teni chu song chung'a angam lhan toumun in nilhum keijin akhut chu chol lou helin a domsang thei tan ahiye.	But Moses’ hands were heavy; so they took a stone, and put it under him, and he sat on it. Aaron and Hur held up his hands, the one on the one side, and the other on the other side. His hands were steady until sunset.	But Moses’ hands were heavy; and they took a stone, and put it under him, and he sat thereon; and Aaron and Hur stayed up his hands, the one on the one side, and the other on the other side; and his hands were steady until the going down of the sun.	
EXO 17:13	Ajonan Joshua le agalsat mihon Amelek mite chu ajoutaovin ahi.	Joshua defeated Amalek and his people with the edge of the sword.	And Joshua discomfited Amalek and his people with the edge of the sword.	
EXO 17:14	Gal ajo phat uvin, Pakaiyin Mose heng'a aseijin, “Het jing na ding'in lekhajol khat lanlang hiche gal kisat chung chang thuhi sunlut'in lang Joshua nabeng'a avella nasim peh tan: vannoiya Amalek kihetna kiti keiman kasuh mang hel ahitai,” ati.	The LORD said to Moses, “Write this for a memorial in a book, and rehearse it in the ears of Joshua: that I will utterly blot out the memory of Amalek from under the sky.”	And the Lord said unto Moses, Write this for a memorial in a book, and rehearse it in the ears of Joshua: for I will utterly put out the remembrance of Amalek from under heaven.	
EXO 17:15	Mose'n jong hiche lai munna chun maicham asem in, “YAWEH-NISSI” (Pakai chu kaponlop ahi) tin asah tai.	Moses built an altar, and called its name “The LORD our Banner”.	And Moses built an altar, and called the name of it Jehovah-nissi:	
EXO 17:16	Aman aseijin, “Amalek mite'n Pakai doumah'a chon masao ahin, tunvang! Pakaiyin imatih channa Amalek mite akidou peding ahitai,” ati.	He said, “The LORD has sworn: ‘The LORD will have war with Amalek from generation to generation.’”	for he said, Because the Lord hath sworn that the Lord will have war with Amalek from generation to generation.	
EXO 18:1	Mose ding'a anupa pa, Jethro Midian thempupa'n Mose le asopi Israel mite chung'a Pakai natoh thil kidang abolho ajadoh tai. Amapan jong Pakaiyin Israel mite Egypt gam'ma kon'na ahin lhatdoh chu ki dang asaval jeng'in ahi.	Now Jethro, the priest of Midian, Moses’ father-in-law, heard of all that God had done for Moses and for Israel his people, how the LORD had brought Israel out of Egypt.	When Jethro, the priest of Midian, Moses’ father in law, heard of all that God had done for Moses, and for Israel his people, and that the Lord had brought Israel out of Egypt;	
